SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 14, 2018	August 13, 2018	August 10, 2018	August 09, 2018	August 08, 2018
Chinese yuan	0.1046530000	0.1047450000	0.1048490000	0.1048150000	0.1048740000
Euro	0.8214970000	0.8217890000	0.8234370000	0.8293670000	0.8293750000
Japanese yen	0.0065026400	0.0065367600	0.0064825200	0.0064555400	0.0064242100
U.K. pound	0.9199520000	0.9188640000	0.9179560000	0.9220110000	0.9204060000
U.S. dollar	0.7202320000	0.7206780000	0.7187820000	0.7154030000	0.7156570000
Algerian dinar		0.0060610100	0.0060561100	0.0060513900	0.0060524600
Australian dollar		0.5245820000	0.5269390000	0.5323310000	0.5315180000
Bahrain dinar		1.9167000000	1.9116500000	1.9026700000	1.9033400000
Botswana pula		0.0676717000	0.0682124000	0.0690364000	0.0690609000
Brazilian real		0.1848750000	0.1868620000	0.1881450000	0.1907760000
Brunei dollar		0.5238630000	0.5258100000		0.5249060000
Canadian dollar			0.5481450000	0.5486220000	0.5483120000
Chilean peso		0.0011019900	0.0011127500	0.0011107000	0.0011145400
Colombian peso		0.0002450490	0.0002462050	0.0002459360	0.0002468750
Czech koruna		0.0320259000	0.0321215000	0.0324343000	0.0324179000
Danish krone		0.1102540000	0.1104630000	0.1112260000	0.1112750000
Hungarian forint		0.0025309100	0.0025527600	0.0025911000	0.0025970100
Icelandic krona		0.0066105100	0.0066186200	0.0066698000	0.0066927600
Indian rupee		0.0103742000	0.0104241000	0.0104250000	0.0104253000
Indonesian rupiah		0.0000494191	0.0000497875	0.0000496050	0.0000495642
Iranian rial		0.0000171590		0.0000170334	0.0000170395
Israeli New Shekel		0.1943050000	0.1945810000	0.1942450000	0.1942610000
Kazakhstani tenge		0.0019841400	0.0020145200	0.0020205700	0.0020530000
Korean won		0.0006398630	0.0006429750	0.0006394380	0.0006357440
Kuwaiti dinar		2.3753400000	2.3733900000	2.3622400000	2.3630700000
Libyan dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit		0.1760970000	0.1761940000	0.1756880000	0.1755780000
Mauritian rupee		0.0209010000	0.0209111000	0.0208582000	0.0208621000
Mexican peso		0.0375743000	0.0379759000	0.0383571000	0.0387802000
Nepalese rupee		0.0065438800	0.0065409200	0.0065155100	0.0065118900
New Zealand dollar		0.4745660000	0.4745400000	0.4771740000	0.4820670000
Norwegian krone		0.0862364000	0.0863775000	0.0868967000	0.0870248000
Omani rial		1.8743300000	1.8693900000	1.8606100000	1.8612700000
Pakistani rupee		0.0058108900	0.0058003500	0.0057644400	0.0057615900
Peruvian sol			0.2194750000	0.2187780000	0.2189890000
Philippine peso		0.0135629000	0.0135346000	0.0134918000	0.0135229000
Polish zloty		0.1903430000	0.1917720000	0.1941600000	0.1945670000
Qatari riyal		0.1979880000	0.1974680000	0.1965390000	0.1966090000
Russian ruble		0.0105635000	0.0107429000	0.0107927000	0.0112534000
Saudi Arabian riyal		0.1921810000	0.1916750000	0.1907740000	0.1908420000
