SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	August 02, 2018	August 01, 2018	July 31, 2018	July 30, 2018	July 27, 2018
Chinese yuan	0.1046430000	0.1047230000	0.1042050000	0.1044200000	0.1047890000
Euro	0.8299060000	0.8335810000	0.8353810000	0.8326300000	0.8300390000
Japanese yen	0.0063961800	0.0063731200	0.0064144500	0.0064177200	0.0064255900
U.K. pound	0.9365280000	0.9357120000	0.9369570000	0.9342860000	0.9352490000
U.S. dollar	0.7143890000	0.7127060000	0.7118110000	0.7126240000	0.7140120000
Algerian dinar		0.0060488900	0.0060475500	0.0060495600	0.0060556200
Australian dollar		0.5279010000	0.5289470000	0.5271280000	0.5275830000
Bahrain dinar	1.8999700000	1.8954900000	1.8931100000	1.8952800000	1.8989700000
Botswana pula		0.0695601000	0.0696863000	0.0696946000	0.0696162000
Brazilian real		0.1901310000	0.1895990000	0.1918290000	0.1921560000
Brunei dollar		0.5233940000	0.5226600000	0.5229880000	0.5240070000
Canadian dollar			0.5468320000	0.5472880000	0.5466330000
Chilean peso		0.0011150000	0.0011143100	0.0011079500	0.0011011900
Colombian peso		0.0002468840	0.0002475240	0.0002473710	0.0002473870
Czech koruna		0.0325600000	0.0326309000	0.0324939000	0.0323977000
Danish krone		0.1118690000	0.1121330000	0.1117740000	0.1114150000
Hungarian forint		0.0025920400	0.0025976600	0.0025819700	0.0025679300
Icelandic krona		0.0067478300	0.0067985800	0.0067778600	0.0067627600
Indian rupee		0.0103884000	0.0103752000	0.0103650000	0.0103926000
Indonesian rupiah		0.0000493495	0.0000493867	0.0000494569	0.0000493000
Iranian rial		0.0000161648	0.0000161518	0.0000161776	
Israeli New Shekel		0.1938280000	0.1942720000	0.1943340000	0.1947130000
Kazakhstani tenge		0.0020467700	0.0020531000	0.0020533200	0.0020627200
Korean won		0.0006375400	0.0006374240	0.0006362710	0.0006377380
Kuwaiti dinar		2.3545000000	2.3530900000	2.3546100000	
Libyan dinar	0.5174910000	0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian ringgit		0.1753060000	0.1753010000	0.1753070000	0.1757570000
Mauritian rupee		0.0208741000	0.0208538000	0.0208830000	0.0209455000
Mexican peso		0.0383383000	0.0381756000	0.0384344000	0.0384881000
Nepalese rupee		0.0064986400	0.0064780800	0.0064872500	0.0064992900
New Zealand dollar		0.4849960000	0.4856690000	0.4845840000	0.4839570000
Norwegian krone		0.0873960000	0.0876226000	0.0873785000	0.0870449000
Omani rial	1.8579700000	1.8535900000	1.8512600000	1.8533800000	1.8569900000
Pakistani rupee		0.0057435200	0.0057293800	0.0057335800	0.0055779700
Peruvian sol			0.2176130000	0.2180610000	
Philippine peso		0.0134068000	0.0133641000	0.0133523000	0.0133825000
Polish zloty		0.1947120000	0.1951180000	0.1942600000	0.1933050000
Qatari riyal	0.1962610000	0.1957980000	0.1955520000	0.1957760000	0.1961570000
Russian ruble		0.0113925000	0.0114164000	0.0113510000	0.0113385000
Saudi Arabian riyal	0.1905040000	0.1900550000	0.1898160000	0.1900330000	0.1904030000
Singapore dollar		0.5233940000	0.5226600000	0.5229880000	0.5240070000
South African rand		0.0539014000	0.0543973000	0.0540251000	0.0539555000
Sri Lankan rupee		0.0044614100	0.0044569300	0.0044647300	
Swedish krona		0.0810040000	0.0813303000	0.0810380000	0.0810668000
Swiss franc			0.7203470000	0.7179730000	0.7160890000
Thai baht		0.0214774000	0.0213776000		
Trinidadian dollar		0.1055450000	0.1054820000	0.1057290000	0.1056780000
Tunisian dinar		0.2651180000	0.2650490000	0.2660860000	0.2683540000
U.A.E. dirham	0.1945240000	0.1940660000	0.1938220000	0.1940430000	0.1944210000
Uruguayan peso			0.0232976000	0.0233356000	0.0232638000
Bolivar Fuerte				0.0000041343	0.0000041424

Currency units per SDR(3)

Currency	August 02, 2018	August 01, 2018	July 31, 2018	July 30, 2018	July 27, 2018
Chinese yuan	9.556300	9.549000	9.596470	9.576710	9.542990
Euro	1.204960	1.199640	1.197060	1.201010	1.204760
Japanese yen	156.343000	156.909000	155.898000	155.819000	155.628000
U.K. pound	1.067770	1.068700	1.067280	1.070340	1.069230
U.S. dollar	1.399800	1.403100	1.404870	1.403260	1.400540
Algerian dinar		165.320000	165.356000	165.301000	165.136000
Australian dollar		1.894290	1.890550	1.897070	1.895440
Bahrain dinar	0.526324	0.527568	0.528231	0.527627	0.526601
Botswana pula		14.376100	14.350000	14.348300	14.364500
Brazilian real		5.259530	5.274290	5.212980	5.204100
Brunei dollar		1.910610	1.913290	1.912090	1.908370
Canadian dollar			1.828720	1.827190	1.829380
Chilean peso		896.861000	897.416000	902.568000	908.109000
